CFT,MAGic Term,Default,,,,,,,,,,,,,,,,
,WindowClasses.VLBClass,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRTCommandButton,Button,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRTForm,Dialog,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT5CheckBox,CheckBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderSSOption,Button,,,,,,,,,,,,,,,,
,WindowClasses.ThunderSSCommand,Button,,,,,,,,,,,,,,,,
,WindowClasses.ThunderSSCheck,CheckBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderCheckBox,CheckBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderCommandButton,Button,,,,,,,,,,,,,,,,
,WindowClasses.ThunderTextBox,Edit,,,,,,,,,,,,,,,,
,WindowClasses.ThunderComboBox,ComboBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderDirListBox,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderDriveListBox,ComboBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderFileListBox,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderFrame,GroupBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderListBox,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderMenu,Menu,,,,,,,,,,,,,,,,
,WindowClasses.ThunderOptionButton,RadioButton,,,,,,,,,,,,,,,,
,WindowClasses.ThunderTimer,TimerControl,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT6ComboBox,ComboBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT6CommandButton,Button,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT6OptionButton,RadioButton,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT6FormDC,Dialog,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT6Frame,GroupBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT6TextBox,Edit,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT6ListBox,ListBox,,,,,,,,,,,,,,,,
,WindowClasses.ListView20WndClass,ListView,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT5CommandButton,Button,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT5OptionButton,CheckBox,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT5FormDC,Dialog,,,,,,,,,,,,,,,,
,WindowClasses.ThunderRT5Frame,GroupBox,,,,,,,,,,,,,,,,
